Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Breakfast"	"04/15/2020 08:00 AM CEST"	"04/15/2020 09:00 AM CEST"	""	""	""
"Lunch"	"04/15/2020 01:30 PM CEST"	"04/15/2020 02:30 PM CEST"	""	""	""
"Dinner"	"04/15/2020 08:00 PM CEST"	"04/15/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/16/2020 08:00 AM CEST"	"04/16/2020 09:00 AM CEST"	""	""	""
"Lunch"	"04/16/2020 01:00 PM CEST"	"04/16/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/16/2020 08:00 PM CEST"	"04/16/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/17/2020 08:30 AM CEST"	"04/17/2020 09:30 AM CEST"	""	""	""
"Lunch"	"04/17/2020 01:30 PM CEST"	"04/17/2020 02:30 PM CEST"	""	""	""
"Dinner"	"04/17/2020 08:00 PM CEST"	"04/17/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/18/2020 08:30 AM CEST"	"04/18/2020 09:30 AM CEST"	""	""	""
"Lunch"	"04/18/2020 01:30 PM CEST"	"04/18/2020 02:30 PM CEST"	""	""	""
"Dinner"	"04/18/2020 08:00 PM CEST"	"04/18/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/19/2020 07:30 AM CEST"	"04/19/2020 08:30 AM CEST"	""	""	""
"Lunch"	"04/19/2020 01:30 PM CEST"	"04/19/2020 02:30 PM CEST"	""	""	""
"Dinner"	"04/19/2020 08:30 PM CEST"	"04/19/2020 09:30 PM CEST"	""	""	""
"Breakfast"	"04/20/2020 09:00 AM CEST"	"04/20/2020 09:30 AM CEST"	""	""	""
"Lunch"	"04/20/2020 01:00 PM CEST"	"04/20/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/20/2020 08:00 PM CEST"	"04/20/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/21/2020 09:00 AM CEST"	"04/21/2020 10:00 AM CEST"	""	""	""
"Lunch"	"04/21/2020 01:30 PM CEST"	"04/21/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/21/2020 08:00 PM CEST"	"04/21/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/22/2020 10:30 AM CEST"	"04/22/2020 12:00 PM CEST"	""	""	""
"Lunch"	"04/22/2020 12:30 PM CEST"	"04/22/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/22/2020 07:30 PM CEST"	"04/22/2020 08:30 PM CEST"	""	""	""
"Breakfast"	"04/23/2020 08:30 AM CEST"	"04/23/2020 09:30 AM CEST"	""	""	""
"Lunch"	"04/23/2020 01:30 PM CEST"	"04/23/2020 02:30 PM CEST"	""	""	""
"Dinner"	"04/23/2020 08:00 PM CEST"	"04/23/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/24/2020 08:00 AM CEST"	"04/24/2020 09:00 AM CEST"	""	""	""
"Lunch"	"04/24/2020 01:30 PM CEST"	"04/24/2020 02:30 PM CEST"	""	""	""
"Dinner"	"04/24/2020 08:00 PM CEST"	"04/24/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/25/2020 08:30 AM CEST"	"04/25/2020 09:30 AM CEST"	""	""	""
"Lunch"	"04/25/2020 01:30 PM CEST"	"04/25/2020 02:30 PM CEST"	""	""	""
"Dinner"	"04/25/2020 08:00 PM CEST"	"04/25/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/26/2020 09:00 AM CEST"	"04/26/2020 10:00 AM CEST"	""	""	""
"Lunch"	"04/26/2020 12:30 PM CEST"	"04/26/2020 01:30 PM CEST"	""	""	""
"Dinner"	"04/26/2020 08:00 PM CEST"	"04/26/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/27/2020 08:30 AM CEST"	"04/27/2020 09:30 AM CEST"	""	""	""
"Lunch"	"04/27/2020 12:30 PM CEST"	"04/27/2020 01:30 PM CEST"	""	""	""
"Dinner"	"04/27/2020 08:00 PM CEST"	"04/27/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/28/2020 08:00 AM CEST"	"04/28/2020 09:30 AM CEST"	""	""	""
"Lunch"	"04/28/2020 01:00 PM CEST"	"04/28/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/28/2020 08:00 PM CEST"	"04/28/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/29/2020 08:30 AM CEST"	"04/29/2020 09:30 AM CEST"	""	""	""
"Lunch"	"04/29/2020 01:00 PM CEST"	"04/29/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/29/2020 07:30 PM CEST"	"04/29/2020 08:30 PM CEST"	""	""	""
"Breakfast"	"04/30/2020 09:00 AM CEST"	"04/30/2020 10:00 AM CEST"	""	""	""
"Lunch"	"04/30/2020 01:00 PM CEST"	"04/30/2020 02:00 PM CEST"	""	""	""
"Lunch"	"04/30/2020 02:00 PM CEST"	"04/30/2020 03:00 PM CEST"	""	""	""
"Dinner"	"04/30/2020 08:00 PM CEST"	"04/30/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"05/01/2020 08:30 AM CEST"	"05/01/2020 09:30 AM CEST"	""	""	""
"Lunch"	"05/01/2020 01:00 PM CEST"	"05/01/2020 02:00 PM CEST"	""	""	""
"Dinner"	"05/01/2020 07:30 PM CEST"	"05/01/2020 08:30 PM CEST"	""	""	""
"Breakfast"	"05/02/2020 08:00 AM CEST"	"05/02/2020 09:00 AM CEST"	""	""	""
"Lunch"	"05/02/2020 01:00 PM CEST"	"05/02/2020 02:00 PM CEST"	""	""	""
"Dinner"	"05/02/2020 08:00 PM CEST"	"05/02/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"05/03/2020 08:00 AM CEST"	"05/03/2020 08:30 AM CEST"	""	""	""
"Lunch"	"05/03/2020 12:30 PM CEST"	"05/03/2020 01:30 PM CEST"	""	""	""
"Dinner"	"05/03/2020 09:00 PM CEST"	"05/03/2020 10:00 PM CEST"	""	""	""
"Breakfast"	"05/04/2020 08:30 AM CEST"	"05/04/2020 09:30 AM CEST"	""	""	""
"Dinner"	"05/04/2020 08:00 PM CEST"	"05/04/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"05/05/2020 07:00 AM CEST"	"05/05/2020 08:00 AM CEST"	""	""	""
"Lunch"	"05/05/2020 01:00 PM CEST"	"05/05/2020 02:00 PM CEST"	""	""	""
"Dinner"	"05/05/2020 08:00 PM CEST"	"05/05/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"05/06/2020 07:00 AM CEST"	"05/06/2020 08:00 AM CEST"	""	""	""
"Lunch"	"05/06/2020 01:00 PM CEST"	"05/06/2020 02:00 PM CEST"	""	""	""
"Dinner"	"05/06/2020 08:00 PM CEST"	"05/06/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"05/07/2020 08:30 AM CEST"	"05/07/2020 09:30 AM CEST"	""	""	""
"Lunch"	"05/07/2020 01:00 PM CEST"	"05/07/2020 02:00 PM CEST"	""	""	""
"Dinner"	"05/07/2020 08:00 PM CEST"	"05/07/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"05/08/2020 11:30 AM CEST"	"05/08/2020 12:00 PM CEST"	""	""	""
"Lunch"	"05/08/2020 01:30 PM CEST"	"05/08/2020 02:30 PM CEST"	""	""	""
"Dinner"	"05/08/2020 08:00 PM CEST"	"05/08/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"05/09/2020 07:30 AM CEST"	"05/09/2020 08:30 AM CEST"	""	""	""
"Lunch"	"05/09/2020 01:00 PM CEST"	"05/09/2020 02:00 PM CEST"	""	""	""
"Dinner"	"05/09/2020 08:00 PM CEST"	"05/09/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"05/10/2020 08:00 AM CEST"	"05/10/2020 09:30 AM CEST"	""	""	""
"Lunch"	"05/10/2020 02:00 PM CEST"	"05/10/2020 02:30 PM CEST"	""	""	""
"Dinner"	"05/10/2020 08:00 PM CEST"	"05/10/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"05/11/2020 07:30 AM CEST"	"05/11/2020 09:00 AM CEST"	""	""	""
"Dinner"	"05/11/2020 08:00 PM CEST"	"05/11/2020 09:00 PM CEST"	""	""	""
"Lunch"	"05/11/2020 01:00 PM CEST"	"05/11/2020 02:00 PM CEST"	""	""	""
"Breakfast"	"05/12/2020 09:00 AM CEST"	"05/12/2020 10:00 AM CEST"	""	""	""
"Lunch"	"05/12/2020 01:00 PM CEST"	"05/12/2020 02:00 PM CEST"	""	""	""

